@RELATION CommOps
@ATTRIBUTE text string
@ATTRIBUTE ModalVerbSignal {shall, will, may, might, can, must, could, would, should, requested, please, none}
@ATTRIBUTE ActionVerbSignal {yes, no}
@ATTRIBUTE TypeOfSubject {first, second, third, none}
@ATTRIBUTE NegativeVerbSignal {yes, no}
@ATTRIBUTE presentTenseVerbSignal {yes, no}
@ATTRIBUTE pastTenseVerbSignal {yes, no}
@ATTRIBUTE debtorPresent {yes, no}
@ATTRIBUTE creditorPresent {yes, no}
@ATTRIBUTE delegationSignal {yes, no}
@ATTRIBUTE deadlineSignal {yes, no}
@ATTRIBUTE createCommitmentPresent {yes, no}
@ATTRIBUTE bigramModalSecond {yes, no}
@ATTRIBUTE bigramFirstModal {yes, no}
@ATTRIBUTE bigramPleaseAction {yes, no}
@ATTRIBUTE questionMarkPresent {yes, no}
@ATTRIBUTE class {create, icreate, discharge, cancel, delegate, none}

@DATA
"Has everyone in our group committed to a time to test with you yet?",none,no,none,no,yes,yes,no,no,no,no,no,no,no,no,yes,none
"I would like to test with you tomorrow after 1:30.",would,yes,first,no,yes,no,yes,yes,no,yes,no,no,yes,no,no,create
"Let me know what works for you.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Thanks, Kim.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Update -- went to see neurologist on Friday (only got in that early because I practically yelled at a number of people for several hours on Thursday -- I guess they think people can afford to wait 6 weeks to see if they feel any better!",can,no,none,no,yes,no,no,no,no,no,no,no,no,no,no,none
"They were willing to set me up with an appointment in Sept., can you imagine???).",can,no,none,no,yes,no,no,no,no,no,no,no,no,no,no,none
"Anyway, the neurologist knew what nerve is pinched but not where it is getting pinched, where the problem is coming from -- could be my back or my hip.",could,no,none,no,yes,no,no,no,no,no,no,no,no,no,no,none
"Having x-rays and cat scan on Monday pm, with something called EMG on Wed.",none,no,none,no,yes,yes,no,no,no,no,no,no,no,no,no,none
"Let you know what I learn.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"--Still flat on back in Houston...Dot",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Dot,Please keep me posted on your tests.",none,no,none,no,yes,yes,no,no,no,no,no,no,no,no,no,none
"Also, dont forget to tell the doctors that you just need the really BIG shot now so that you will be ready for Italy in the fall.",none,no,none,no,yes,no,no,no,no,no,no,no,no,no,no,none
"Dont over-do it!",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"It does take time for the back to heal.",none,no,none,no,yes,no,no,no,no,no,no,no,no,no,no,none
"I had lunch with Sue Neville yesterday and she had some great advise for the Amalfi Coast(she and her family just returned from Italy).",none,no,none,no,no,yes,no,no,no,no,no,no,no,no,no,none
"On one of the islands near the Amalfi Coast, there are plenty of natural spas with salt water, fresh water, hot, cold, dry and wet saunas.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Sounds like a good stop and may even be helpful to your current condition.Stay flat!",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Kim.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Kim --	Thanks for the note -- I had a cat scan yesterday, along with more hip x-rays.",none,no,none,no,no,yes,no,no,no,no,no,no,no,no,no,none
"Tomorrow, I have something called an EMG -- electro-myogram -- sounds 	similar to the old myleograms, so I just assumed it would be similar -- dye into the spinal cord & take pictures.",none,no,none,no,no,yes,no,no,no,no,no,no,no,no,no,none
"However, Staci looked it up on the 	Internet for me and reported that it is a series of needle probes into various muscles to check for nerve problems, and is somewhat painful -- just what I want 	at this point!",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Surely doesnt sound too great...",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"oh well, still hope to find something out by tomorrow around noon...",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"I did hear from a friend of mine, who had something similar a few years ago; she opted for some injections into her back, which worked, so that would be 	better than surgery or continuing like this, at least.",none,no,none,no,yes,yes,no,no,no,no,no,no,no,no,no,none
"The neurologist did say last week that it is not necessarily my back (altho that is the most likely 	cause of this) but said that it could be something in my hip...",could,no,none,no,yes,no,no,no,no,no,no,no,no,no,no,none
"So, maybe I will have a number of options, like physical therapy, injections, etc. and not just 	surgery.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"--Dot",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Importance:	High	Kim--	Got the news today -- good news is we now know what the problem is & it can be fixed.",none,no,none,no,no,yes,no,no,no,no,no,no,no,no,no,none
"I have a protruding disc between L5 and S1 that is impinging 	upon the nerve root for L5 -- i.e., causing the numbness in my left leg and foot.",none,no,none,no,no,yes,no,no,no,no,no,no,no,no,no,none
"Bad news is -- surgery is the fix.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"However, the neurologist says that 	recovery from the surgery is pretty short, in light of the micro-surgery they now do on this.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Trying to get in to see the surgeon now, to see how soon 	I can schedule something.",can,no,none,no,yes,no,no,no,no,no,no,no,no,no,no,none
"Keep you informed...",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"--Dot",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Dot,Im so glad you know what the problem is.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"My brother had a similar micro-surgery last year.",none,no,none,no,no,yes,no,no,no,no,no,no,no,no,no,none
"He went home on the same day and was only off work for a couple of days.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Will you be able to start a rehab program/routine after surgery?",none,no,none,no,no,no,no,no,no,no,no,no,no,no,yes,none
"Is your doctor comfortable with you traveling to Italy this fall or will it be a wait and see situation to see how you are doing post surgery?",none,no,none,no,no,yes,no,no,no,no,no,no,no,no,yes,none
"Keep me posted.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Thanks, Kim.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Importance:	High	Kim--	I am not sure what the deal will be, as I am waiting to get a referral and to get into the neurosurgeon.",will,no,none,no,yes,no,no,no,no,no,no,no,no,no,no,none
"However, I spoke to a surgeon friend of mine in San 	Angelo this weekend.",none,no,none,no,no,yes,no,no,no,no,no,no,no,no,no,none
"She says I should not plan on being able to go.",should,no,none,no,yes,no,no,no,no,no,no,no,no,no,no,none
"She said if it were just a month later, I might could make it.",could,no,none,no,yes,no,no,no,no,no,no,no,no,no,no,none
"But she says that, 	even if I get the surgery scheduled soon, that there will be a lot of rehab and that first of Oct. is too soon to stop rehab.",none,no,none,no,no,yes,no,no,no,no,no,no,no,no,no,none
"I was hoping to get some definite 	answers to questions today, but neither my regular doctor (who said she would call me back today after she received the information on the tests done 	by the neurologist, etc.), nor the nerologist, who I left a message for, called me back.",would,no,none,no,yes,no,no,no,no,no,no,no,no,no,no,none
"So, I am not positive about anything...",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"The neurologist made it 	sound like the recovery from this new microsurgery was not that difficult or long but he was not specific about the exact period.",none,no,third,no,no,yes,yes,yes,no,no,yes,no,no,no,no,discharge
"Do you have any back-up takers for going on the trip, in the event my doctors say no way?",none,no,none,no,yes,yes,no,no,no,no,no,no,no,no,yes,none
"--Dot",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"John, FYI, I will let you know when I hear from her.",will,yes,third,no,yes,no,yes,yes,no,no,no,no,yes,no,no,create
"Thanks, Kim.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Hi Jean,My hotmail address is kimberlyswatson@hotmail.comPass: madope01And again...many, many thanks!",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"KimPS.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Are you moved yet?",none,no,none,no,no,no,no,no,no,no,no,no,no,no,yes,none
"Kim -- I made some other changes.",none,no,none,no,no,yes,no,no,no,no,no,no,no,no,no,none
"I will watch it for a few days and see if anything gets delivered!",will,yes,first,no,yes,no,yes,yes,no,no,no,no,yes,no,no,create
"Thanks.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Jean",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"I think when I logged in today, I had 34 new messages!",none,no,none,no,no,yes,no,no,no,no,no,no,no,no,no,none
"Im on my way to Omaha this afternoon.....Lets have lunch in the next few weeks!",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Kim.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"For your information, attached is the redlined version of the LOI from Pemex.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"I have been discussing these comments with Dave Matney at Kinder Morgan.",none,no,none,no,no,yes,no,no,no,no,no,no,no,no,no,none
"I have also discussed these comments with Pemex and they do intend on giving us feedback on the rate we offered within the next week.",none,no,none,no,yes,yes,no,no,no,no,no,no,no,no,no,none
"It is Pemexs intention to move forward with this LOI with an agreed upon rate (even though it currently says To Be determined) prior to execution.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"I will keep you posted as we get more information.",will,no,none,no,yes,no,no,no,no,no,no,no,no,no,no,none
"If you have any comments regarding any of these issues, please feel free to contact me, otherwise, please look forward to review our next draft prior to us sending it back to Pemex.Thanks, Kim (X33098) << File: TransPecosPEMEX comments 07-17-01.doc >>",please,no,second,no,yes,no,yes,yes,no,no,no,no,no,no,no,create
"You might want to send these to Kim Some brief comments:1.b)  Term:   Finance would greatly prefer a right to extend for a period of at least 10 years to be exercised at least 2 years prior to the expiration date.",might,no,third,no,yes,no,yes,yes,no,no,no,no,yes,no,no,create
"This would allow for time to find a replacement shippe1r before the expiration date.",would,no,none,no,yes,no,no,no,no,no,no,no,no,no,no,none
"In no case should we agree to an annual evergreen as this is optionality without any cost to them. 2.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Conduct of Open season/Contract Quantity Reduction:   Need to establish an Initial Recourse Rate prior to the open season in order for their proposed mechanism to work.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Without it there is no way to measure the proportionate reduction requested.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"We need to get Paul Cherry working on the credit of MGI Supply ASAP.",none,no,none,no,yes,yes,no,no,no,no,no,no,no,no,no,none
"Comments from Rod. ",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Paul see note below.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"I have spoken with Jorge Rojas of PEMEX today and he will fax translated financial statements for MGI either this afternoon or in the morning.",will,yes,first,no,yes,no,yes,yes,no,yes,no,no,yes,no,no,create
"We will continue to monitor until received.",will,yes,first,no,yes,no,yes,yes,no,no,no,no,yes,no,no,create
"We have been attempting to obtain this information since July 10.If you have any questions, please advise.Regards.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Dear Jorge, Per our conversation on this past Monday, here is the letter we talked about.",none,no,none,no,no,yes,no,no,no,no,no,no,no,no,no,none
"We have an original that will be placed in the mail today.",will,no,first,no,yes,no,yes,yes,no,yes,no,no,yes,no,no,create
"Please feel free to give me a call if you have any questions.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"We look forward to hearing from you soon.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Sincerely,Kim.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Dave, as you can see I mis-typed your email address on the original sent to Jorge.",can,no,third,no,yes,no,no,no,no,no,no,no,no,no,no,none
"This letter has a typo in the last para.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Please use the revised letter sent as the one to go by.",please,yes,second,no,yes,no,yes,yes,no,no,no,no,no,yes,no,icreate
"Call if you have questions.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Thanks, Kim.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Jorge,My apologizes, a slight typo in the Trans Pecos name in last paragraph.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Here is the revised memo.Thanks,Kim.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Although we expect to receive specific feedback on our July 6, 2001 proposal to Pemex for the TransPecos Pipeline very soon, we sent the attached letter today to Pemex (with a copy to Kinder Morgan) that will withdraw our proposal on October 1, 2001 if the LOI has not been executed.",will,no,first,no,yes,no,yes,yes,no,no,no,no,no,no,no,create
"Kinder Morgan has agreed with the sending of this letter.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Pemex has been aware of the contents of this letter since Monday, September 17.We will keep you posted of our detailed discussions with Pemex as they proceed.Thanks, Kim.",will,yes,third,no,yes,no,yes,yes,no,no,no,no,yes,no,no,create
"The following note is from Kim Watson: Please review the attached proposal for Pemex (MGI) for firm transportation on Transwestern.",please,yes,third,no,yes,no,yes,yes,no,no,no,no,no,yes,no,icreate
"Please forward all comments back to Steve Harris.",please,yes,second,no,yes,no,yes,yes,no,no,no,no,no,yes,no,icreate
"We would like to send this out today, so your prompt attention would be appreciated.",would,yes,first,no,yes,no,yes,yes,no,no,no,no,yes,no,no,create
"I am on vacation until October 8 and Mark will not return to the office until October 1.",will,no,none,no,yes,no,no,no,no,no,no,no,no,no,no,none
"Steve, once all comments have been incorporated, please forward to Jorge at Pemex at his email address of jrojas@gas.pemex.com",please,yes,second,no,yes,no,yes,yes,no,no,no,no,no,yes,no,icreate
"Please feel free to call me on my cell phone to discuss (713-416-5059)",please,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"looks fine to me",none,no,third,no,no,yes,yes,yes,no,no,yes,no,no,no,no,discharge
"Is the intent that this will be a negotiated rate?",none,no,none,no,no,no,no,no,no,no,no,no,no,no,yes,none
"If not,  do we need to add language that the discounted rate will be between max and min rates?",will,no,none,no,yes,no,no,no,no,no,no,no,no,no,yes,none
"All else looks fine. --  Teb",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Dave,	Using the numbers we have today and the Pemex volume of 240/day @$0.25 as we have noted does not get KM to where we would want to be.",would,no,none,no,yes,no,no,no,no,no,no,no,no,no,no,none
"Ilayered on an additional 5 year commitment on the 240/day to cover some ofthe gap but we were still short of targets.",none,no,none,no,yes,no,no,no,no,no,no,no,no,no,no,none
"I then modified the debt termto 20 years which should be acceptable as the project would be supported forthat length by the extended term and that covers an additional portion ofthe gap.",none,no,none,no,no,yes,no,no,no,no,no,no,no,no,no,none
"However, we are still short of our target and my calculationsindicate a need to have 22/day @ $0.25 starting in year 3 and lastingthrough year 20 to make up the difference.",none,no,none,no,no,yes,no,no,no,no,no,no,no,no,no,none
"In the alternative, a rate of$0.267 with the 20 year term and 20 year debt note also gets us there.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Allin all, neither one is that big of a hill to climb so we know what we arelooking at.Mark,	Could you review from TWs perspective and see if you come up withnumbers in the same ball park?",could,yes,third,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,icreate
"James,Would you take a look at this and let us know what you think.Thanks,Kim",would,yes,second,no,yes,no,yes,yes,no,no,no,yes,no,no,no,icreate
"Kim, Danny wants to compile and asset development activities in one section for purposes of the upcoming business review with Mark Frevert and Greg Whalley.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Ive developed a standard template for my projects (Alaska Highway, Sun Devil, Heat Recovery) and propose you do same for TransPecos.",none,no,none,no,no,yes,no,no,no,no,no,no,no,no,no,none
"Heres a rough draft for your consideration.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Please complete and return to me at your earliest convenience, preferably before Monday, close of play.Thanks-Eric << OLE Object: Picture (Metafile) >>",please,yes,third,no,yes,no,yes,yes,no,no,no,no,no,yes,no,icreate
"Steve,  I just stopped in the office on my way out to the airport and saw this.",none,no,none,no,no,yes,no,no,no,no,no,no,no,no,no,none
"I will call you on Monday to discuss so we can give it to Danny quickly.",can,yes,first,no,yes,no,yes,yes,no,yes,no,no,yes,no,no,create
"Will Danny also want something similar on Questar?",none,no,none,no,no,no,no,no,no,no,no,no,no,no,yes,none
"Thanks, Kim.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"We dont need anything at the moment.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Steve, I just ran into Tracy in the hall and she asked if on Trans Pecos the $131MM (or it could be $138MM) represented 100% or 50% of the cost.",none,no,none,no,no,yes,no,no,no,no,no,no,no,no,no,none
"The $131 is 100% of the cost of the project.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"If we joint venture with KMI, our cost would be half of this.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Call me if you have questions.Thanks, Kim.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Did we send the new version to K/M yet.",none,no,none,no,yes,yes,no,no,no,no,no,no,no,no,no,none
"--------------------------Sent from my BlackBerry Wireless Handheld (www.BlackBerry.net)",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"We are sending them over this morning.",none,no,none,no,no,yes,no,no,no,no,no,no,no,no,no,none
"I have already talked to Dave Matney and told him the agreements were coming this morning.",none,no,none,no,no,yes,no,no,no,no,no,no,no,no,no,none
"They will review and we will plan to meet next Mon or Tues to iron out any remaining items (such as the operatorship) so we can tender to Pemex.",can,yes,third,no,yes,no,yes,yes,no,yes,no,no,yes,no,no,create
"Stan is OK with them and has agreed that if we need to conceded the operatorship, we can, but he would like an opener in three years to re-bid the operatorship.",none,no,none,no,yes,no,no,no,no,no,no,no,no,no,no,none
"FYI, Kim.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Kim:Well, I am now officially over in Rod Haysletts group!",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
